SUBDIVISION,YEAR,FORECAST_RAINFALL
Gujarat Region,2019,830.11786
Gujarat Region,2020,1068.6818
Gujarat Region,2021,891.6028
Gujarat Region,2022,1030.1622
Gujarat Region,2023,1065.0402
Gujarat Region,2024,1152.0148
Gujarat Region,2025,1169.1677
Gujarat Region,2026,1161.2415
Gujarat Region,2027,1059.9435
Gujarat Region,2028,1136.688
Gujarat Region,2029,1190.0082
Gujarat Region,2030,1187.418
Haryana Delhi & Chandigarh,2018,549.4656
Haryana Delhi & Chandigarh,2019,602.253
Haryana Delhi & Chandigarh,2020,600.9481
Haryana Delhi & Chandigarh,2021,779.90985
Haryana Delhi & Chandigarh,2022,760.177
Haryana Delhi & Chandigarh,2023,813.3138
Haryana Delhi & Chandigarh,2024,861.2768
Haryana Delhi & Chandigarh,2025,748.63074
Haryana Delhi & Chandigarh,2026,983.7533
Haryana Delhi & Chandigarh,2027,921.3838
Haryana Delhi & Chandigarh,2028,854.6786
Haryana Delhi & Chandigarh,2029,990.6476
Haryana Delhi & Chandigarh,2030,937.9937
Himachal Pradesh,2018,1156.0652
Himachal Pradesh,2019,1087.4814
Himachal Pradesh,2020,1167.8395
Himachal Pradesh,2021,1174.0801
Himachal Pradesh,2022,1143.7612
Himachal Pradesh,2023,1073.4548
Himachal Pradesh,2024,1190.2203
Himachal Pradesh,2025,1231.2484
Himachal Pradesh,2026,1013.92633
Himachal Pradesh,2027,1143.0171
Himachal Pradesh,2028,1218.4866
Himachal Pradesh,2029,1263.6504
Himachal Pradesh,2030,890.6624
Jammu & Kashmir,2018,1122.8899
Jammu & Kashmir,2019,1245.5659
Jammu & Kashmir,2020,1087.0892
Jammu & Kashmir,2021,1120.8723
Jammu & Kashmir,2022,1222.0667
Jammu & Kashmir,2023,1217.1415
Jammu & Kashmir,2024,875.7904
Jammu & Kashmir,2025,1041.2712
Jammu & Kashmir,2026,1179.5905
Jammu & Kashmir,2027,1178.5245
Jammu & Kashmir,2028,1112.0626
Jammu & Kashmir,2029,1107.5774
Jammu & Kashmir,2030,1196.3456
Jharkhand,2018,1001.49854
Jharkhand,2019,1154.0928
Jharkhand,2020,1170.2135
Jharkhand,2021,1276.722
Jharkhand,2022,898.65125
Jharkhand,2023,1069.0173
Jharkhand,2024,1192.9366
Jharkhand,2025,1141.5374
Jharkhand,2026,1107.7397
Jharkhand,2027,1189.9744
Jharkhand,2028,1207.0952
Jharkhand,2029,1016.7216
Jharkhand,2030,1143.0171
Kerala,2018,2522.7812
Kerala,2019,2152.966
Kerala,2020,2460.386
Kerala,2021,2606.16
Kerala,2022,2397.2764
Kerala,2023,2451.2095
Kerala,2024,2684.4087
Kerala,2025,2518.2776
Kerala,2026,2490.771
Kerala,2027,2674.24
Kerala,2028,2821.8542
Kerala,2029,2703.0083
Kerala,2030,2921.6992
Konkan & Goa,2018,2999.1917
Konkan & Goa,2019,2672.8625
Konkan & Goa,2020,3404.1865
Konkan & Goa,2021,3114.1108
Konkan & Goa,2022,2934.2834
Konkan & Goa,2023,3100.9507
Konkan & Goa,2024,3283.866
Konkan & Goa,2025,3274.298
Konkan & Goa,2026,3376.2803
Konkan & Goa,2027,3254.3533
Konkan & Goa,2028,3097.5703
Konkan & Goa,2029,3175.6982
Konkan & Goa,2030,3269.1846
Lakshadweep,2018,1442.2358
Lakshadweep,2019,1243.6942
Lakshadweep,2020,1155.3297
Lakshadweep,2021,999.7539
Lakshadweep,2022,1257.836
Lakshadweep,2023,1174.1888
Lakshadweep,2024,1217.755
Lakshadweep,2025,915.56116
Lakshadweep,2026,1045.6805
Lakshadweep,2027,1183.8394
Lakshadweep,2028,1150.5563
Lakshadweep,2029,1105.1084
Lakshadweep,2030,1159.8572
Madhya Maharashtra,2018,879.5599
Madhya Maharashtra,2019,893.5175
Madhya Maharashtra,2020,934.9558
Madhya Maharashtra,2021,929.2172
Madhya Maharashtra,2022,985.5268
Madhya Maharashtra,2023,893.52673
Madhya Maharashtra,2024,954.52734
Madhya Maharashtra,2025,1124.3707
Madhya Maharashtra,2026,1077.6569
Madhya Maharashtra,2027,1142.2568
Madhya Maharashtra,2028,1206.3138
Madhya Maharashtra,2029,1176.2552
Madhya Maharashtra,2030,1020.0582
Matathwada,2018,1007.0589
Matathwada,2019,913.9413
Matathwada,2020,837.99695
Matathwada,2021,1097.408
Matathwada,2022,918.65845
Matathwada,2023,1076.9541
Matathwada,2024,1173.0703
Matathwada,2025,1167.9957
Matathwada,2026,1135.4653
Matathwada,2027,1106.8938
Matathwada,2028,1190.2203
Matathwada,2029,1232.7094
Matathwada,2030,1006.98816
Naga Mani Mizo Tripura,2018,2048.1777
Naga Mani Mizo Tripura,2019,2264.6506
Naga Mani Mizo Tripura,2020,2500.171
Naga Mani Mizo Tripura,2021,2314.0737
Naga Mani Mizo Tripura,2022,2215.4143
Naga Mani Mizo Tripura,2023,2732.9602
Naga Mani Mizo Tripura,2024,2292.1384
Naga Mani Mizo Tripura,2025,2326.204
Naga Mani Mizo Tripura,2026,2589.4854
Naga Mani Mizo Tripura,2027,2350.183
Naga Mani Mizo Tripura,2028,2102.0596
Naga Mani Mizo Tripura,2029,2657.3335
Naga Mani Mizo Tripura,2030,2390.4634
North Interior Karnataka,2018,943.2539
North Interior Karnataka,2019,743.3463
North Interior Karnataka,2020,899.15015
North Interior Karnataka,2021,833.0329
North Interior Karnataka,2022,906.36554
North Interior Karnataka,2023,878.071
North Interior Karnataka,2024,870.48663
North Interior Karnataka,2025,897.212
North Interior Karnataka,2026,905.256
North Interior Karnataka,2027,927.73785
North Interior Karnataka,2028,945.88605
North Interior Karnataka,2029,937.5686
North Interior Karnataka,2030,903.2216
Orissa,2018,1051.3108
Orissa,2019,1070.3997
Orissa,2020,1177.3928
Orissa,2021,1254.7228
Orissa,2022,980.5577
Orissa,2023,1138.6936
Orissa,2024,1202.2198
Orissa,2025,1314.7502
Orissa,2026,890.1036
Orissa,2027,1037.9105
Orissa,2028,1170.4291
Orissa,2029,1175.2681
Orissa,2030,1115.8566
Punjab,2018,662.9675
Punjab,2019,608.9616
Punjab,2020,741.8895
Punjab,2021,784.3731
Punjab,2022,806.698
Punjab,2023,849.3406
Punjab,2024,874.43164
Punjab,2025,843.61725
Punjab,2026,987.6034
Punjab,2027,971.90045
Punjab,2028,1011.6579
Punjab,2029,1090.1997
Punjab,2030,1182.4434
Rayalseema,2018,890.8438
Rayalseema,2019,824.3788
Rayalseema,2020,978.4821
Rayalseema,2021,864.02167
Rayalseema,2022,906.5072
Rayalseema,2023,1035.3198
Rayalseema,2024,928.43146
Rayalseema,2025,997.6279
Rayalseema,2026,1040.1156
Rayalseema,2027,1030.8304
Rayalseema,2028,1167.0077
Rayalseema,2029,1192.8944
Rayalseema,2030,1127.3982
Saurashtra & Kutch,2018,680.688
Saurashtra & Kutch,2019,802.58936
Saurashtra & Kutch,2020,808.10144
Saurashtra & Kutch,2021,837.6183
Saurashtra & Kutch,2022,874.43164
Saurashtra & Kutch,2023,883.2963
Saurashtra & Kutch,2024,901.4757
Saurashtra & Kutch,2025,895.8069
Saurashtra & Kutch,2026,912.39
Saurashtra & Kutch,2027,940.10406
Saurashtra & Kutch,2028,933.072
Saurashtra & Kutch,2029,929.6721
Saurashtra & Kutch,2030,903.2216
South Interior Karnataka,2018,1109.4681
South Interior Karnataka,2019,1074.3839
South Interior Karnataka,2020,1195.427
South Interior Karnataka,2021,1188.3202
South Interior Karnataka,2022,1116.4967
South Interior Karnataka,2023,1006.89166
South Interior Karnataka,2024,1197.7496
South Interior Karnataka,2025,1230.0192
South Interior Karnataka,2026,1178.592
South Interior Karnataka,2027,953.7823
South Interior Karnataka,2028,1111.0437
South Interior Karnataka,2029,1173.2269
South Interior Karnataka,2030,1167.5513
Sub Himalayan West Bengal & Sikkim,2018,2642.4792
Sub Himalayan West Bengal & Sikkim,2019,2556.4114
Sub Himalayan West Bengal & Sikkim,2020,2666.747
Sub Himalayan West Bengal & Sikkim,2021,2618.9856
Sub Himalayan West Bengal & Sikkim,2022,2599.7764
Sub Himalayan West Bengal & Sikkim,2023,2639.7678
Sub Himalayan West Bengal & Sikkim,2024,2608.1162
Sub Himalayan West Bengal & Sikkim,2025,2612.6245
Sub Himalayan West Bengal & Sikkim,2026,2631.0706
